RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
174,Johnny Lumpkin (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
175,Ryan Miller (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
176,Tanner Taula (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
177,Nate Adkins (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
178,John Samuel Shenker (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
179,Jordan Murray (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
180,Princeton Fant (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
181,Izaiah Gathings (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
182,Justin Rigg (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
183,Zaire Mitchell-Paden (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
184,Cole Fotheringham (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
185,Tucker Fisk (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
186,Leonard Taylor (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
187,Thomas Odukoya (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
188,Dalton Kincaid (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3%,2023
189,Luke Schoonmaker (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2023
190,Luke Musgrave (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5%,2023
191,Tucker Kraft (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,2023
192,Brenton Strange (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%,2023
193,Payne Durham (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
194,Zack Kuntz (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2023
195,Ben Sims (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
196,Ryan Jones (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
197,Kevin Rader (TEN) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.1%,2023
198,Dominique Dafney (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
199,Elijah Higgins (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
200,Sammis Reyes (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
201,Ben Mason (BAL) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
202,Hunter Kampmoyer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
203,Zach Davidson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
204,Bernhard Seikovits (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
205,Nick Guggemos (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
206,Hunter Thedford (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
207,Hunter Long (LAR) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.1%,2023
208,Kenny Yeboah (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
209,Miller Forristall (NO) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
210,Matt Bushman (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
211,Josh Whyle (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
212,Darnell Washington (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2023
213,Sam LaPorta (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5%,2023
214,Michael Mayer (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6%,2023
215,Jordan Thomas (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
216,Dominique Curry (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
217,James Dearth (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
218,Drake Dunsmore (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
