RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,OWN,Year
129,Spencer Brown (FA),9,43,4.8,7,0,0,2,4,10,5.0,0,0,2,5.3,2.7,0.0%,2022
130,Julius Chestnut (TEN),9,12,1.3,5,0,0,3,3,41,13.7,0,0,6,5.3,0.9,1.2%,2022
131,David Johnson (FA),12,24,2.0,5,0,0,4,4,47,11.8,0,1,4,5.1,1.3,0.0%,2022
132,Ronnie Rivers (LAR),9,21,2.3,5,0,0,5,5,29,5.8,0,0,2,5.0,2.5,1.1%,2022
133,Patrick Taylor Jr. (SF),10,31,3.1,6,0,0,1,1,17,17.0,0,0,7,4.8,0.7,1.3%,2022
134,Dwayne Washington (FA),11,38,3.5,8,0,0,1,1,7,7.0,0,0,7,4.5,0.6,0.0%,2022
135,Trestan Ebner (FA),24,54,2.3,11,0,0,2,8,8,4.0,0,1,11,4.2,0.4,0.0%,2022
136,Anthony McFarland Jr. (FA),6,30,5.0,14,0,0,2,2,11,5.5,0,0,1,4.1,4.1,1.1%,2022
137,Larry Rountree III (FA),13,19,1.5,5,0,0,2,2,14,7.0,0,0,3,3.3,1.1,0.0%,2022
138,Jonathan Ward (FA),5,25,5.0,12,0,0,2,3,7,3.5,0,0,4,3.2,0.8,0.0%,2022
139,Giovani Bernard (FA),8,28,3.5,8,0,0,2,2,-1,-0.5,0,0,4,2.7,0.7,0.0%,2022
140,D'Ernest Johnson (FA),4,17,4.3,7,0,0,3,3,7,2.3,0,0,10,2.4,0.2,1.0%,2022
141,Mike Davis (FA),8,18,2.3,10,0,0,2,2,4,2.0,0,0,5,2.2,0.4,1.0%,2022
142,Ty Chandler (MIN),6,20,3.3,10,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0%,2022
143,Trey Sermon (PIT),2,19,9.5,14,0,0,0,0,0,0,0,0,1,1.9,1.9,1.0%,2022
144,Adam Prentice (DEN),4,9,2.3,3,0,0,3,3,9,3.0,0,0,6,1.8,0.3,0.0%,2022
145,Michael Burton (DEN),5,7,1.4,6,0,0,2,3,11,5.5,0,0,12,1.8,0.2,0.0%,2022
146,J.J. Taylor (FA),10,9,0.9,5,0,0,1,1,8,8.0,0,0,1,1.7,1.7,0.6%,2022
147,Jerome Ford (CLE),8,12,1.5,9,0,0,0,0,0,0,0,0,13,1.2,0.1,47.9%,2022
148,Keith Smith (FA),1,2,2.0,2,0,0,1,2,8,8.0,0,0,10,1.0,0.1,0.0%,2022
149,Jakob Johnson (HOU),0,0,0,0,0,0,5,6,10,2.0,0,0,11,1.0,0.1,0.0%,2022
150,Reggie Bonnafon (FA),3,8,2.7,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.0%,2022
151,Devine Ozigbo (FA),3,4,1.3,4,0,0,1,1,3,3.0,0,0,3,0.7,0.2,1.0%,2022
152,Kylin Hill (FA),1,7,7.0,7,0,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,2022
153,Godwin Igwebuike (FA),3,4,1.3,4,0,0,1,1,3,3.0,0,0,5,0.7,0.1,0.0%,2022
154,Troy Hairston II (FA),0,0,0,0,0,0,5,8,19,3.8,0,0,12,0.5,0.0,1.1%,2022
155,Ty'Son Williams (FA),0,0,0,0,0,0,1,1,5,5.0,0,0,1,0.5,0.5,1.2%,2022
156,Duke Johnson Jr. (FA),2,4,2.0,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2022
157,Demetric Felton Jr. (FA),1,-4,-4.0,0,0,0,2,4,8,4.0,0,0,6,0.4,0.1,0.0%,2022
158,Damien Williams (FA),2,2,1.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,2022
159,Jordan Howard (FA),1,1,1.0,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.0%,2022
160,Kirk Merritt (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
161,Rico Dowdle (CAR),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,18.7%,2022
162,Jermar Jefferson (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,2022
163,Sandro Platzgummer (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2022
164,John Lovett (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2022
165,Brittain Brown (CHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2%,2022
166,Velus Jones Jr. (NO),9,103,11.4,42,1,1,7,14,107,15.3,1,3,11,0.0,0.0,0.0%,2022
167,Bryant Koback (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
168,Jashaun Corbin (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
169,Ben Mason (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
170,Jake Funk (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
171,Kenjon Barner (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
172,Jason Cabinda (FA),1,4,4.0,4,0,0,1,4,5,5.0,0,0,7,0.0,0.0,1.1%,2022
173,Trenton Cannon (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
174,Brandin Bryant (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
175,Cullen Gillaspia (FA),0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2022
176,Andrew Beck (NYJ),2,0,0.0,1,0,0,5,11,69,13.8,0,0,9,0.0,0.0,0.0%,2022
177,Qadree Ollison (FA),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
178,La'Mical Perine (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
179,Khari Blasingame (FA),0,0,0,0,0,0,0,1,0,0,0,0,5,0.0,0.0,0.0%,2022
180,J.P. Holtz (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
181,Taiwan Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,7,-2.0,-0.3,1.0%,2022
1,Christian McCaffrey (SF),272,"1,459",5.4,72,9,14,67,83,564,8.4,7,2,16,324.3,20.3,99.8%,2023
2,Raheem Mostert (LV),209,"1,012",4.8,49,7,18,25,32,175,7.0,3,1,15,242.7,16.2,4.9%,2023
