RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
233,Alex Bachman (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
234,Derrick Dillon (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
235,Rysen John (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
236,Chris Finke (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
237,Aaron Parker (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
238,Mason Kinsey (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
239,Manasseh Bailey (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
240,Malik Taylor (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Tyrie Cleveland (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
242,Stephen Guidry (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
243,Kendall Hinton (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,Trishton Jackson (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
245,Kristian Wilkerson (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
246,Nsimba Webster (LAR) ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
247,Aaron Fuller (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
248,Jerry Jeudy (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.30%
249,Reggie Begelton (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
250,Isaiah Hodgins (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
251,Nick Westbrook-Ikhine (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
