RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
110,Ben Koyack (FA) ,1,3,9,9,9,0,0,0,0,0,0,12,0.9,0.1,1.4,0.12,0.00%
111,Jordan Thomas (IND) ,1,3,8,8,8,0,0,0,0,0,0,6,0.8,0.1,1.3,0.22,0.00%
112,Chris Herndon IV (NYJ) ,1,2,7,7,7,0,0,0,0,0,0,2,0.7,0.4,1.2,0.6,3.80%
113,Dalton Schultz (DAL) ,1,2,6,6,6,0,0,0,0,0,0,16,0.6,0,1.1,0.07,4.00%
114,Charles Jones (PIT) ,1,1,5,5,5,0,0,0,0,0,0,4,0.5,0.1,1,0.25,0.00%
115,Tyrone Swoopes (WAS) ,1,1,5,5,5,0,0,0,0,0,0,6,0.5,0.1,1,0.17,0.00%
116,Zach Gentry (PIT) ,1,1,4,4,4,0,0,0,0,0,0,4,0.4,0.1,0.9,0.23,0.10%
117,Darrell Daniels (ARI) ,1,3,4,4,4,0,0,0,0,0,0,11,0.4,0,0.9,0.08,0.10%
118,Xavier Grimble (BAL) ,1,3,3,3,3,0,0,0,0,0,0,3,0.3,0.1,0.8,0.27,0.00%
119,Eric Tomlinson (BAL) ,1,1,1,1,1,0,0,0,0,0,0,8,0.1,0,0.6,0.08,0.00%
120,Devin Asiasi (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.20%
121,Justin Johnson (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
122,Rysen John (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
123,Dominick Wood-Anderson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
124,Ian Bunting (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
125,Stephen Sullivan (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
126,Tommy Hudson (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
127,Charlie Taumoepeau (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
128,Charlie Woerner (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
129,Mitchell Wilcox (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
130,Cheyenne O'Grady (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
131,Noah Gray (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
132,Matt Sokol (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
133,Nakia Griffin-Stewart (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
134,Dalton Keene (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
135,Cam Sutton (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
136,Kyle Markway (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
137,Thaddeus Moss (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.30%
138,Chase Harrell (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
139,Tyler Simmons (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
140,Reggie Gilliam (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
141,Harrison Bryant (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.40%
142,Noah Togiai (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
143,Ben Ellefson (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
144,Colby Parkinson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
145,Jacob Breeland (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
146,Jared Pinkney (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
147,Tyler Mabry (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
148,Sean McKeon (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
149,Giovanni Ricci (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
150,Tyler Davis (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
151,Hunter Bryant (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
152,Brycen Hopkins (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.30%
153,Cole Kmet (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,35.40%
154,Tommy Stevens (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
155,Josiah Deguara (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
156,Luke Farrell (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
157,Darion Clark (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
158,Jake Burt (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
159,Rashod Berry (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
160,Nate Wieting (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
161,Chris Myarick (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
162,Eli Wolf (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
163,Parker Hesse (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
164,Adam Trautman (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,18.60%
165,David Wells (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
166,Andrew Vollert (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
167,Marcus Baugh (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
168,Ethan Wolf (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
169,Dylan Cantrell (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
170,Jordan Franks (CLE) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
171,Kevin Rader (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
172,Colin Thompson (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
173,Donnie Ernsberger (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
174,Caleb Wilson (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
175,Jace Sternberger (GB) ,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.60%
176,Dax Raymond (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
177,Jakob Johnson (NE) ,1,2,5,5,5,0,0,0,0,0,0,4,0,0,0.5,0.13,0.00%
178,Kahale Warring (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
179,Carson Meier (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.20%
180,Austin Fort (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
181,Donald Parham Jr. (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.90%
182,Nate Becker (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
183,Alize Mack (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
184,Matt Flanagan (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
185,Nick Keizer (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
186,Kendall Blanton (LAR) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
187,Garrett Dickerson (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.10%
188,Hakeem Butler (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
189,Albert Okwuegbunam (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.30%
