RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
210,Jalen McCleskey (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
211,Isaiah Zuber (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
212,Joe Fortson (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
213,Jaylon Moore (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
214,Malik Henry (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
215,Olamide Zaccheaus (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.90%
216,Deonte Harris (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.10%
217,Scotty Washington (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
218,Rysen John (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
219,Tom Kennedy (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
220,Nsimba Webster (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
221,Jalen Guyton (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.50%
222,Manasseh Bailey (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
223,Stephen Guidry (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
224,Derrick Dillon (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
225,Steven Sims Jr. (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
226,Travis Jonsen (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
