RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
156,Lamar Miller (WAS) ,0,0,0,0,0,0,2,2,6,3,0,0,1,0.6,0.6,1.6,1.6,0.30%
147,Dwayne Washington (NO) ,8,15,1.9,5,0,0,0,0,0,0,0,0,11,1.5,0.1,1.5,0.14,0.00%
151,D.J. Foster (ARI) ,2,2,1,2,0,0,1,1,7,7,0,0,10,0.9,0.1,1.4,0.14,0.00%
148,Tony Jones Jr. (NO) ,3,13,4.3,6,0,0,0,0,0,0,0,0,1,1.3,1.3,1.3,1.3,0.00%
154,Craig Reynolds (FA) ,1,4,4,4,0,0,1,1,3,3,0,0,2,0.7,0.4,1.2,0.6,0.00%
157,Cullen Gillaspia (NYG) ,0,0,0,0,0,0,1,1,6,6,0,0,7,0.6,0.1,1.1,0.16,0.00%
150,Senorise Perry (TEN) ,2,9,4.5,6,0,0,0,0,0,0,0,0,7,0.9,0.1,0.9,0.13,0.00%
152,Dexter Williams (GB) ,2,8,4,5,0,0,0,0,0,0,0,0,3,0.8,0.3,0.8,0.27,0.20%
208,Isaac Nauta (GB) ,0,0,0,0,0,0,1,2,3,3,0,0,7,0,0,0.5,0.07,0.00%
248,Bruce Miller (JAC) ,0,0,0,0,0,0,1,2,2,2,0,0,8,0,0,0.5,0.06,0.00%
257,Nick Bellore (SEA) ,1,5,5,5,0,0,1,1,9,9,0,0,16,0,0,0.5,0.03,0.00%
158,Tony Brooks-James (ATL) ,3,4,1.3,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.4,0.00%
159,Qadree Ollison (ATL) ,1,3,3,3,0,0,0,0,0,0,0,0,3,0.3,0.1,0.3,0.1,1.40%
160,Sewo Olonilua (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
161,Darius Bradwell (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.10%
162,Benny LeMay (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
163,Xavier Jones (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.20%
164,Ty'Son Williams (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
165,Larry Rountree III (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.40%
166,Patrick Taylor Jr. (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
167,Raymond Calais (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.20%
168,Sandro Platzgummer (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
169,Trey Ragas (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
170,Jaret Patterson (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.00%
171,Demetric Felton (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
172,Mikey Daniel (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
173,Chuba Hubbard (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,8.50%
174,Pete Guerriero (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
176,Patrick Carr (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
177,Deon Jackson (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
178,Rakeem Boyd (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
179,Nathan Cottrell (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.00%
180,Pooka Williams Jr. (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
181,Jermar Jefferson (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.40%
182,Josh Hokit (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
183,Jake Bargas (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
184,Darius Anderson (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
185,Johnny Stanton (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
186,Dalyn Dawkins (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
187,Trey Edmunds (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.00%
188,John Kelly (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
189,Nick Bawden (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
190,Jordan Chunn (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
191,John Lovett (FA) ,3,6,2,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0.00%
192,Jeremy Cox (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.10%
193,Derrick Gore (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
194,Travis Etienne (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,87.10%
195,Najee Harris (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,95.40%
196,Kylin Hill (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.80%
197,Eno Benjamin (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.50%
198,Caleb Huntley (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
199,Michael Warren II (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
200,Trey Sermon (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,58.20%
201,Javon Leake (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
202,Tavien Feaster (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
203,Bryce Love (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.60%
